Date,AAPL_bm,AMT_bm,AMZN_bm,BA_bm,BAC_bm,BHP_bm,COR_bm,CVX_bm,DUK_bm,DVA_bm,ECL_bm,GE_bm,GOOGL_bm,JPM_bm,KO_bm,LLY_bm,META_bm,MMM_bm,MSFT_bm,NEE_bm,NKE_bm,NVDA_bm,PEP_bm,PG_bm,PLD_bm,RIO_bm,SBUX_bm,SLB_bm,SO_bm,SPG_bm,VZ_bm,WFC_bm,XOM_bm
2020-06-12,79.34673728942872,229.30605392456056,123.9586254119873,163.1700012207031,22.533069133758545,37.30217533111572,90.23887825012207,79.7609733581543,73.99050331115723,80.85149955749512,202.0668067932129,43.02371673583984,71.01397552490235,88.52162322998046,41.21598606109619,143.77464141845704,227.79680480957032,131.55865058898925,179.07335205078124,56.22328128814697,93.83399658203125,87.9480136871338,118.07514610290528,105.53480491638183,83.16487007141113,38.41656265258789,72.37547225952149,17.808129405975343,48.482164192199704,53.348160934448245,45.55568447113037,25.275727844238283,39.30920143127442
2020-06-15,79.77800827026367,230.8045524597168,124.36587562561036,166.71700134277344,22.708874130249022,37.61293621063233,90.73676795959473,79.90345077514648,74.23802833557129,80.81549949645996,202.3348243713379,43.562282752990725,71.13317565917968,89.20894737243653,41.36881713867187,142.93247299194337,228.87665863037108,132.42305221557618,179.3774642944336,56.474937438964844,94.36625595092774,88.29045791625977,117.87611808776856,105.62961120605469,83.69493370056152,38.752807998657225,72.50512466430663,17.970356702804565,48.64873428344727,54.26158771514893,45.614223098754884,25.49885711669922,39.52284259796143
2020-06-16,80.23177146911621,232.11363220214844,124.83840065002441,169.83350143432617,22.846876049041747,37.81726131439209,91.20847702026367,79.96620864868164,74.32511291503906,80.72849960327149,202.42171936035157,43.93158531188965,71.28640060424804,89.72880592346192,41.467074966430665,143.20590438842774,229.99846801757812,132.92579307556153,179.82108535766602,56.63542709350586,94.7619239807129,88.45111312866212,117.74984130859374,105.71712379455566,84.17855644226074,38.96623554229736,72.5796745300293,18.050661516189574,48.72600955963135,54.998426246643064,45.663004875183105,25.641935920715333,39.64171733856201
2020-06-17,80.70179290771485,233.66176376342773,125.31752548217773,172.9385009765625,22.981006240844728,38.003329277038574,91.7092227935791,80.04762382507325,74.45037651062012,80.62999954223633,202.6271499633789,44.24857006072998,71.48175048828125,90.21284446716308,41.57585525512695,143.3614044189453,230.92997970581055,133.44680824279786,180.35883255004882,56.86181831359863,95.14321975708008,88.66774291992188,117.79684867858887,105.96735725402831,84.75051841735839,39.16585922241211,72.6370922088623,18.18293924331665,48.83204746246338,55.58441276550293,45.7552848815918,25.80295705795288,39.75352554321289
2020-06-18,81.09908065795898,234.961190032959,125.70762557983399,175.8870002746582,23.085285663604736,38.12607975006104,92.06716995239258,80.00267639160157,74.55590629577637,80.53799934387207,202.7833152770996,44.513236618041994,71.5441505432129,90.55359573364258,41.64328746795654,143.73897705078124,231.22816314697266,133.91286087036133,180.87433624267578,57.06131801605225,95.41887588500977,88.79342498779297,117.9107421875,106.24083633422852,85.13843841552735,39.298233604431154,72.56994934082032,18.280583572387695,48.88699817657471,56.18980045318604,45.86219959259033,25.94235506057739,39.817950057983396
2020-06-19,81.5008918762207,236.7165626525879,126.27830085754394,178.28800048828126,23.19958562850952,38.22008514404297,92.53840408325195,79.94288711547851,74.54603958129883,80.57899932861328,202.77427597045897,44.71943054199219,71.58887557983398,90.89569091796875,41.69928951263428,144.10323486328124,231.59777069091797,134.43568572998046,181.44109954833985,57.2281551361084,95.50326423645019,89.03771781921387,118.00402221679687,106.57356910705566,85.41212882995606,39.411495208740234,72.4472412109375,18.375762939453125,48.87755355834961,56.63008213043213,45.951226806640626,26.08681411743164,39.87697162628174
2020-06-22,81.98961563110352,237.7764533996582,126.97065048217773,180.83750076293944,23.296040344238282,38.36031608581543,92.94728240966796,79.9984359741211,74.5160099029541,80.68599929809571,202.85157470703126,44.913314247131346,71.68242530822754,91.22166633605957,41.74899692535401,144.54500579833984,231.81304244995118,134.869962310791,182.26609725952147,57.39392776489258,95.7915210723877,89.28929824829102,118.0748966217041,106.808304977417,85.66515998840332,39.553072166442874,72.34444389343261,18.485801124572752,48.8814172744751,57.18281002044678,46.01464366912842,26.23311357498169,39.95261898040771
2020-06-23,82.5983829498291,238.76347274780272,127.82702560424805,182.99500122070313,23.32693929672241,38.511423683166505,93.45754852294922,79.91956520080566,74.47482757568359,80.7449993133545,202.64493408203126,44.97486476898193,71.7889503479004,91.3161449432373,41.74743480682373,145.08616409301757,232.31451110839845,135.1140037536621,183.24971084594728,57.51058521270752,96.0579963684082,89.65634880065917,118.19231605529785,107.06811027526855,85.75559501647949,39.746324729919436,72.23933181762695,18.546192264556886,48.82174415588379,57.613589477539065,46.04066123962402,26.27773952484131,39.985454368591306
2020-06-24,83.1111904144287,238.91071090698242,128.6370506286621,184.3535011291504,23.23626537322998,38.596882820129395,93.71982116699219,79.65411567687988,74.33540649414063,80.66849937438965,202.15564346313477,44.74097328186035,71.82000045776367,91.0156925201416,41.67349071502686,145.62494277954102,232.55825271606446,134.8627586364746,184.02489852905273,57.53190250396729,96.08004913330078,90.01238784790038,118.1814037322998,107.18342819213868,85.69189414978027,39.86277179718017,72.00966033935546,18.49671516418457,48.70883750915527,57.689609146118165,45.99147281646729,26.193548583984374,39.91313171386719
2020-06-25,83.68071899414062,238.78797149658203,129.52075080871583,185.60650100708008,23.23773136138916,38.70215339660645,94.01826896667481,79.5837245941162,74.06171455383301,80.56999931335449,201.4413932800293,44.710197830200194,71.87715034484863,90.93061714172363,41.59612598419189,146.20557022094727,233.06871032714844,134.77166595458985,184.9408103942871,57.40791988372803,96.23323783874511,90.51436920166016,118.18765487670899,107.2668399810791,85.64588775634766,40.01319751739502,71.7924903869629,18.485401916503907,48.46585121154785,57.89510040283203,45.93293380737305,26.200449180603027,39.91853561401367
