Date,AAPL_bl,AMT_bl,AMZN_bl,BA_bl,BAC_bl,BHP_bl,COR_bl,CVX_bl,DUK_bl,DVA_bl,ECL_bl,GE_bl,GOOGL_bl,JPM_bl,KO_bl,LLY_bl,META_bl,MMM_bl,MSFT_bl,NEE_bl,NKE_bl,NVDA_bl,PEP_bl,PG_bl,PLD_bl,RIO_bl,SBUX_bl,SLB_bl,SO_bl,SPG_bl,VZ_bl,WFC_bl,XOM_bl
2019-02-14,35.528033242138314,145.2271658955343,78.67962713644575,331.6059608974392,24.628129280239893,32.917996633984565,70.09095684962273,86.89779199664757,67.65333918293534,55.46292905604545,142.18148689118505,48.815863644362246,53.16558791364531,87.14879063915292,39.072819951993026,105.14512872961973,137.6283808548236,151.7347082607508,97.8412529341479,37.923492564569706,74.2964490489832,33.36059885022392,92.9877364435666,79.47161183474878,55.34371855647804,29.638824059955432,57.311891372292855,36.53483435430315,37.52703162718428,126.979360068445,40.27321583204015,41.35975864230057,53.4877778624536
2019-02-15,35.76716793786248,145.49801576877533,78.59378101878609,334.1017733276273,24.62822028288126,33.00216439423865,70.96446204283781,87.17672685294093,67.8499129569409,55.193199955901974,142.53631202252893,49.12150803201299,53.21255102290718,87.03616700670274,38.71333997142554,104.83826051873126,138.79784683465658,151.96885284824918,97.74583639549819,37.95749296287714,74.51856856491236,33.31316814395027,93.00134522913542,80.17730120063683,55.8629746022249,29.810806535486225,57.757411586070006,37.08592521426127,37.65898240722771,127.72410589497372,40.307177053338386,41.38016824566368,53.40145268111596
2019-02-19,36.000930342806704,145.97687119831866,78.70192262363209,336.5166434430097,24.634382590119802,33.08153402458085,71.2092315871126,87.24808687360695,68.0756668080927,54.99677871493441,142.17697034622304,49.53695746762524,53.22724704635217,86.98786573907194,38.253348642632474,104.85745338407287,139.80175276165704,151.94980782193772,97.70433339457645,37.967776570958584,74.66685598615716,33.317723251960636,92.99975141429076,80.74509856821538,56.33833749570327,29.998739406615545,58.24927321649106,36.98089489547793,37.76876984283812,128.51914519874308,40.38245656346332,41.38395201470976,53.27127041870986
2019-02-20,36.444392937739394,146.7565925655768,78.66301065097346,340.5874434085698,24.62083393648162,33.40130582851508,71.59273848121937,87.5689428990846,68.30771036517089,54.886498324278215,142.64064321360416,50.49405371618078,53.44582086822287,86.91930917262232,37.90307920734805,104.8441301989715,141.33854875424012,152.60592518670902,97.71472928921624,37.96484092576107,74.7966990998734,33.284725998636524,93.11762046793179,81.80246218517567,56.929164238041984,30.398861909760853,58.66861390554565,36.89989726110882,37.85396730038452,129.5381216823275,40.460622556267765,41.36798417042813,53.319256517716575
2019-02-21,36.93650544261914,147.49147892048418,78.59541371508975,345.7713059708316,24.618879457273753,33.867326386115494,72.14782688341097,88.22941385308317,68.45653012390163,54.79165306233014,143.08316856283767,51.49299264078658,53.58531935098249,86.93629764805807,37.69437346923021,104.74764612610873,143.68174441932075,153.53999179399182,97.44256791565748,37.92461838980818,75.05197734730403,33.299692323973744,93.17251838604554,81.97515724044584,57.543772036710386,31.000411869956864,58.93343268385485,37.04394694070545,37.83290479689483,130.60571640798958,40.65881640777026,41.37223163229092,53.60373299526076
2019-02-22,37.604635706307135,148.43493413016162,78.57702773980922,351.73448203237484,24.618879457273753,34.365787367204696,72.93005858943391,88.61226931022769,68.54800583212922,54.83928994298799,144.02937656140625,52.58457876115028,53.78253880994656,87.00353405651303,37.43406268525429,105.10653638452654,146.03915606343986,154.54875650753078,97.0114001036459,37.855101920184886,75.329867420887,33.27676404427334,93.42498642114374,82.26195918794153,58.38690586778605,31.75521223617735,59.66063202030568,37.162919981177126,37.798147175429854,131.60736583555183,40.6805360307736,41.36823880739746,53.914585939943755
2019-02-25,38.02248711378589,149.20846769653383,78.61590522462906,357.230347700364,24.64193851217766,34.658611796638084,73.60028141452686,89.11034008384271,68.85072421138528,54.860410772903364,144.630561543129,53.03124370753626,53.84633881495476,86.95266212750658,37.15556629721593,105.64269913664994,147.9955187958015,155.08304327769213,96.59006792217986,37.99362268793171,75.60670395875367,33.30605646934134,93.8638934453447,82.81542941250042,59.0569064200542,32.168832255033145,59.93419727925319,37.16147789577753,37.953646858311835,132.39868554874286,40.638605655400625,41.36927858889801,54.26021075424548
2019-02-26,38.65692083739899,149.94677382479375,78.61390098429524,364.5497392017908,24.67353696821284,35.014735125992225,74.21604876881773,89.92341351871136,69.2786379435703,55.01346660211966,145.23290834514933,53.81891847929038,54.14034296675489,86.95329626112022,36.86936591132305,106.24905372409894,150.6979988984849,156.44259782721878,96.34890844099219,38.26548984761733,75.96786121449877,33.71734390762267,94.54237404110161,83.50064622339596,59.68548383332332,32.605310097628646,60.31022736403958,37.1989965515779,38.16892720084818,133.0344852630096,40.571021056444124,41.3640906425962,54.78316885227621
2019-02-27,39.7401046095542,150.43215230990577,78.85703108532084,372.36051797765117,24.65999663297117,35.29750815132585,74.97085615874623,91.03699361771405,69.79750147174092,55.04704670741956,146.01711845917004,54.753217245313735,54.67842023409791,86.95337846656678,36.63248587888529,106.7540259773009,155.44631882529796,157.30710462773942,96.66078396708193,38.58768576370839,76.42114445851279,34.739806069810186,95.36336784107928,84.38451429640526,60.18021614960262,32.81980925074997,60.75956803580882,37.267584618825644,38.38717907639979,133.59236680910854,40.67812595113084,41.342245702200415,55.318260566879474
2019-02-28,40.02243522903888,150.7991081777393,78.91533900943848,374.3997630611966,24.656589511694456,35.42483869827573,76.4299221098244,92.13288301164026,70.31394932008388,55.2044560627487,146.56725729235131,56.05235841070274,54.851354872670115,86.9524369834414,36.45281095022665,107.08629994741872,158.73232543153665,157.96668558211138,96.59839495106691,38.922605358258224,76.75203996005814,35.47949374529941,95.78664387294259,85.16573810031097,60.49809577386357,32.976217096359775,61.01204341495152,37.24942443521355,38.570170695776866,133.8095895654779,40.70831870087556,41.328615301263724,55.855833748630914
2019-03-01,40.24536837963669,150.77272032110287,79.49130676498577,377.95626391052156,24.68351593194207,35.50659073625516,76.42913286968366,92.7954672593602,70.50393628024642,55.33008586766311,146.92042667693198,56.140082580937005,54.770436193076364,86.99488479332726,36.29083287547307,106.7147928259119,158.46404044685363,158.55336337688087,96.8400252206983,39.02284698260471,76.84476451530304,35.84619978684554,95.88325417988179,85.47469288118441,60.62743448074484,33.02541569584897,61.29950436829977,37.28844867759631,38.63356114731912,132.92318734794645,40.67647392650326,41.320872002572926,56.23355210102247
2019-03-04,40.50276682348526,150.9779971714482,79.16386816313947,382.977963758027,24.746441847651873,35.61141376023166,75.7423184595524,92.76701991539903,70.71496845735938,55.15599547045414,147.3534879114142,56.20348298975733,54.70068977851623,87.00830087338232,36.182817066761636,106.62485433678798,158.44339347749883,159.4170851119915,97.58770315009943,39.19747780143689,77.25810482931803,36.212107835748704,96.120631977058,85.61822626641673,60.76289002284213,33.10669827291408,61.649085626776284,37.30314797886644,38.728932703826864,132.5049972124494,40.72763374961236,41.318064956447294,56.27058474740061
2019-03-05,40.51939435444095,151.0570735173895,78.97307826118907,386.4882933346973,24.754518895316878,35.72378613293757,74.87826787530723,92.53200789308288,70.98246472099984,54.28029880314756,147.80828413767105,56.24091111794399,54.504706330952665,87.00343953180534,36.11812844281936,106.60839697086966,158.18142749052612,160.04999845774773,97.9032601468657,39.39999165700289,77.63605889781032,36.366329727447145,96.27388574463853,85.69189302921069,60.8603052171057,33.1256810404832,62.24329953616016,37.3311047340948,38.832481872596986,132.0142981757598,40.84585144256192,41.326189653745075,56.52146856136749
