Date,AAPL_macds,AMT_macds,AMZN_macds,BA_macds,BAC_macds,BHP_macds,COR_macds,CVX_macds,DUK_macds,DVA_macds,ECL_macds,GE_macds,GOOGL_macds,JPM_macds,KO_macds,LLY_macds,META_macds,MMM_macds,MSFT_macds,NEE_macds,NKE_macds,NVDA_macds,PEP_macds,PG_macds,PLD_macds,RIO_macds,SBUX_macds,SLB_macds,SO_macds,SPG_macds,VZ_macds,WFC_macds,XOM_macds
2023-05-11,2.83403116009499,-1.4267580391197123,1.59995038642768,-1.5836908583117304,-0.41542986107788543,-0.49279949662062417,1.9370764245959229,-1.0875724278023418,0.40351916158762,2.669575790181382,2.6150393468942617,2.0301988800543027,1.417511340541295,1.2143014913637427,0.5568154282292752,18.38731880857123,8.010574163404655,-0.564268347172818,7.533544034883848,-0.1205589203668407,0.901362424198993,6.2403979073651765,3.2339651978588773,2.3496180526743315,0.9359946940230923,-1.1583293320492456,1.1635460406403955,-0.9615400821914952,1.2418649238825805,-0.5519985781125044,-0.08017482077235599,-0.2980714954324631,-0.343674792659972
2023-05-12,2.8881753249430653,-1.4967432395072544,1.7221313963866929,-1.628342618471331,-0.4434987472278731,-0.4944191814154826,1.9633850537564632,-1.35145624620178,0.37955768663802814,2.8254562484230195,2.696648556046635,1.9261461759633698,1.6665999757581282,1.0773594947802632,0.5283673887289132,18.84627587264045,7.841577113317846,-0.65564901332019,7.582160914873681,-0.11593821544507057,0.7164525847858273,6.216093459057105,3.277812901191719,2.228509636096164,0.9841382916881045,-1.1762679578356672,0.9978991391894492,-1.0532874031105077,1.2111485245297842,-0.6465796550222291,-0.09335743988102059,-0.3310463314347301,-0.5961558907370492
2023-05-15,2.909996026300202,-1.5610521654806013,1.8504344699584605,-1.6186641940964779,-0.46055710401166566,-0.48398293726974106,2.0332625507390634,-1.5707914457764636,0.3379092314983707,2.9746401208702333,2.7450387239206773,1.858895215604817,1.9325957002944194,0.9431038824523077,0.5019755235517394,19.143095287683508,7.710293123771361,-0.7393281961915138,7.569846002417124,-0.09551305705414354,0.49975947626516026,6.217294794821226,3.282964344881506,2.1233597777866473,1.0067373062982654,-1.1748680805879597,0.8538838142840913,-1.1327193089650678,1.1538627240150117,-0.7247217246751914,-0.11702650536478171,-0.3457303320465677,-0.8257910839667555
2023-05-16,2.9037806601530205,-1.6835755941204054,2.0067311489430035,-1.6020642948645698,-0.47325490669945874,-0.48586849180396074,2.14210629514599,-1.8036567482448556,0.25081220209182664,3.131510698612905,2.7450426000367076,1.8001480677687987,2.2387029967924708,0.8011944642844997,0.46597963483845234,19.313045681952318,7.591318173323461,-0.8492961320322128,7.538813087286952,-0.09234252645787709,0.22063830797666417,6.261717159375676,3.243092371367271,2.0246580608008125,0.9473188305193754,-1.1810837800185028,0.7076934686212603,-1.2187965986532825,1.0567828734415246,-0.8348680755914215,-0.15662694427371063,-0.3533131308029454,-1.0668060078022132
2023-05-17,2.8835530550864203,-1.7745057738423213,2.2013108502449823,-1.4826184191124991,-0.46276379245923016,-0.47898307208165936,2.2677942470853885,-1.9949801352839651,0.12395656508665027,3.279274353826922,2.738276649325857,1.7829631600687406,2.5700216229426207,0.7246653841258595,0.42370673644496964,19.363557857372825,7.527483602780362,-0.9355018191573105,7.527117980567743,-0.10768001402731242,-0.07561259650631458,6.470540054348065,3.148469943175049,1.9202241463678167,0.8599465531925321,-1.1707354636462473,0.5726229740287596,-1.282202440511189,0.9380601848422381,-0.9188022740638604,-0.20181790894810353,-0.32298901305736516,-1.264152844476919
2023-05-18,2.8865351872580933,-1.894798705299229,2.446947412716775,-1.2956897411913197,-0.4387799675172713,-0.4757081320743525,2.392757738249888,-2.148629002357886,-0.024689964896578542,3.443124062020173,2.7292687184418094,1.7972632928613121,2.9256657284821204,0.7078905690712386,0.373338291407745,19.29908967882892,7.553887352888909,-0.9855485392812009,7.582683576950995,-0.13728240407707767,-0.33715014111050756,6.995950329746122,3.009567615576337,1.7733718903120592,0.7477434573098403,-1.1586029703433653,0.4722615390419426,-1.3196790709323827,0.8115593545652605,-0.991226289244727,-0.24843849597221418,-0.2736543611595213,-1.406142788335175
2023-05-19,2.8990778296853676,-2.027534490639407,2.6758182493560394,-1.10123034932026,-0.41216341728359773,-0.4731781656304123,2.4826150852012265,-2.246839443699662,-0.18377209918424842,3.591046722692006,2.718155046435795,1.830432002740121,3.270128133309169,0.7228317113366186,0.32014908278152954,19.19317225156165,7.598965267657783,-1.0173476918211324,7.657357418937963,-0.18355547163581976,-0.6271408012286813,7.610273775403334,2.847672259038842,1.6136089597169896,0.6396701047300288,-1.1388791918274155,0.3730518609178642,-1.3293637104817524,0.6905343032104944,-1.0530832450681018,-0.2941524603294195,-0.21717143484404092,-1.4951748587289622
2023-05-22,2.895091508383865,-2.113901058272992,2.856300693647977,-0.9030339822808394,-0.3807958427171764,-0.4688070327140629,2.5220448685105863,-2.3431936615482916,-0.34896402620323014,3.704591725377256,2.664142090821757,1.8741336669716986,3.6186071199446204,0.7372431508025623,0.24684136034796866,18.88999057743473,7.678777586441147,-0.9929264189945027,7.767680518378041,-0.23588586760652916,-0.9904210367423225,8.21674197512671,2.5927835920262714,1.3876698458761767,0.5565458532159362,-1.1174527389729163,0.23796709591288082,-1.3066762774656708,0.5705956870465058,-1.0933634608984422,-0.3375895166873406,-0.14387180800003896,-1.562981413058495
2023-05-23,2.832401760930925,-2.244548824622852,2.990163799557908,-0.7636360134145952,-0.34351549699305617,-0.47576256429105,2.5063730840371896,-2.359770946284238,-0.527343529216364,3.736564108106015,2.4938686731698008,1.8724991353171454,3.9033616569677694,0.7263749327786396,0.16250334653177598,18.265002090233704,7.733494148268885,-0.9476596561757495,7.782974883309497,-0.2952313769341194,-1.4003719467138127,8.689934180309082,2.2782285393687967,1.1037275580903851,0.4814423829308618,-1.1097698915686605,0.046772432545002324,-1.2609714915429149,0.45941884823535584,-1.1432989236032605,-0.3723272546713554,-0.059962740548188086,-1.588149450325759
2023-05-24,2.7341979723445577,-2.4649727567134896,3.109054100141514,-0.719786966680577,-0.3111232282836949,-0.5236364588338697,2.4481064936348362,-2.3136006420475455,-0.7125341510108149,3.696526371205649,2.2558604618509444,1.8268036587639302,4.097866822182626,0.6790345107073277,0.067262563874217,17.470054180508846,7.79135244352412,-0.9460175809475925,7.697804458352691,-0.3539520235494455,-1.8226055576952418,9.011056105310196,1.9192873016001952,0.7766988970174179,0.3751069443879602,-1.1343412184218549,-0.18112732149745836,-1.1977034876262427,0.3538736500706767,-1.2236468956941162,-0.40452683091797825,0.02103658672741389,-1.5631647480862885
2023-05-25,2.6309263066479995,-2.7373943764290543,3.1773209192930905,-0.7109573131806972,-0.28170117653644233,-0.5992059042454354,2.3465215357068394,-2.2671719561073065,-0.9102460241489302,3.585722970688604,1.9682198812600242,1.760320675441538,4.257431702378632,0.6149273551889813,-0.03723944584772243,16.594862918768065,7.885851206385668,-0.9687350020043674,7.728004453291463,-0.4215497589101595,-2.2389983104033986,10.386438177817304,1.5300775363716492,0.42332067612068136,0.268810069299043,-1.1707871834142671,-0.4380290441609179,-1.1407458006357178,0.2406508360997025,-1.329721959538963,-0.44837184857392437,0.09638555540551444,-1.5344782321059613
2023-05-26,2.5626711388219237,-3.027793980099337,3.2845645797412426,-0.6788852425807173,-0.2528761408582511,-0.6619834084824732,2.1898887884410936,-2.2252731644768304,-1.1062969402580176,3.4157565075881764,1.6629028597161422,1.6997053798814679,4.395056932311059,0.5621241142147251,-0.14430234845007395,15.653321314902161,8.129403920412814,-1.0049961925335327,7.921858240746328,-0.47466410556975464,-2.624326838387801,12.480907545601106,1.1354027460712015,0.07114319015503823,0.21357793687566573,-1.1843303318873308,-0.6972312096168063,-1.0987623173501258,0.12258833632015655,-1.4266613947895777,-0.4934791630928349,0.16916513156926333,-1.512198489719532
2023-05-30,2.5438181756717975,-3.3101350810661514,3.427859485656779,-0.6154675874075947,-0.22613318494568885,-0.7248094273154772,1.9639628489939172,-2.1981893019722567,-1.2991481450403157,3.180157282461149,1.3412114448444878,1.6366582961122642,4.486701858806252,0.5260219041656907,-0.2544505443371691,14.70687385997533,8.442734789516892,-1.0589510677035152,8.163425799639649,-0.5339904312126864,-2.9795861707017814,15.073653801902488,0.7248777252662431,-0.2967390181344594,0.18283100905207156,-1.1938116442708973,-0.9549354427551722,-1.0685192761161164,0.01297121403843883,-1.4922713049179446,-0.5373974988697675,0.23223817141751357,-1.506104918670026
2023-05-31,2.5503256233745297,-3.5271544374209625,3.5611952744542155,-0.5182109377640652,-0.20884985631904907,-0.7966459678968302,1.767539481662574,-2.21547547001955,-1.457184828148652,2.928466012520778,1.0112326374168206,1.5578102341379791,4.521733482577852,0.47372333411788853,-0.3620338033047472,13.808662188339701,8.799195651422913,-1.1606170915035796,8.358907150313561,-0.5808912663955598,-3.3104161184243104,17.44527338716352,0.33575333706067756,-0.6651491734329338,0.1723497647802264,-1.214657176827199,-1.1977409319691024,-1.067927857909788,-0.0868735590252143,-1.5067750569845137,-0.5660264507924185,0.26716161288395024,-1.5359418771836402
