Date,AAPL_rsi,AMT_rsi,AMZN_rsi,BA_rsi,BAC_rsi,BHP_rsi,COR_rsi,CVX_rsi,DUK_rsi,DVA_rsi,ECL_rsi,GE_rsi,GOOGL_rsi,JPM_rsi,KO_rsi,LLY_rsi,META_rsi,MMM_rsi,MSFT_rsi,NEE_rsi,NKE_rsi,NVDA_rsi,PEP_rsi,PG_rsi,PLD_rsi,RIO_rsi,SBUX_rsi,SLB_rsi,SO_rsi,SPG_rsi,VZ_rsi,WFC_rsi,XOM_rsi
2021-05-03,44.33792723673733,67.78823818763152,48.71476714263152,27.843136668251148,58.17943183174062,60.28938139379962,73.50238075050538,57.81475298022843,62.51397421915088,79.54344885376585,61.96545683321288,50.21646593658699,63.4143536957892,48.41933208355995,66.99275769431136,56.15694936114636,60.018736785409374,54.85487677104796,39.36482749992338,37.2272054122876,48.83928090951815,40.1851902630176,59.18220372889493,52.79254241707417,76.12377812728819,66.72653604803395,51.02271610475071,61.28363932679427,68.06967904983568,71.64897928971124,53.348199507670834,74.0084637645082,62.92603315565602
2021-05-04,38.988443845333364,62.56096589349103,48.01862840711895,27.36031699481157,57.506709356728365,55.575538322463565,75.53669552320282,54.693885088522315,61.556238519994714,80.94068388694019,63.50666279542232,38.33334361327675,59.16535905303785,59.56110744472272,61.991024218352706,58.861627577223715,62.68360626797165,55.83670830867005,37.94065487680501,32.93662772296078,48.398772744402336,39.42303526935874,55.850774289295245,49.2603840155291,81.93547646058859,63.42547506431825,47.23827815129676,56.30841445122843,68.25398204765484,65.74148263999369,58.85823323655394,68.92031562523513,58.66542264152454
2021-05-05,30.906805452439357,53.06911862842514,39.72939899874512,24.88499086979759,69.7466537351894,58.71864578432945,49.48501744277827,62.82411792446432,47.8500730317978,76.76381702872158,60.36611304886397,42.7966655411021,54.63046157896626,61.42675170011681,57.77265104737163,61.102167365740165,56.04024798747248,58.29844346959562,28.100808555239865,20.749787465008566,46.59200588749368,26.833722518952243,55.03819732322635,38.67178125582855,53.536513182012456,65.40617350878058,41.2347933915745,68.66125934283814,56.57537152487242,63.357109632343864,59.5744384940279,68.76268380611415,66.31230641992519
2021-05-06,37.76304178796422,41.34682894027718,41.44467535032362,29.289749054024014,70.66474580802304,62.28725677663079,45.2967928924833,64.29240126942935,49.30337506035631,75.21404577633068,57.412011236781545,45.909210954974434,58.05691290859628,64.51869344921988,59.555625289548225,58.06115629074136,60.9911062653059,58.069945169316995,32.67231604996698,16.714830682736746,48.141432359757076,29.937958342512502,54.51602550387265,45.73365882563668,60.09347380514106,65.35765433915014,39.842023593807426,72.46964435650267,57.046051189748994,62.489150237674416,59.730241305620304,65.97333398511493,69.57563903563226
2021-05-07,37.80151184398059,48.248215272357335,42.433109647444844,40.56112374748868,71.28716498310233,63.52881769299959,52.72654333584802,65.43378745671885,53.59483624946868,85.8228821621061,62.184789861488454,46.39643168915198,58.973470100619714,66.94285731025292,56.05687418254279,59.659090909090914,64.04266593297973,59.187916999546566,40.33854836797654,23.10855132126136,60.63316818887885,41.41808863615091,52.71625258568918,47.86862490353138,66.12493612331241,65.83679041072398,40.62144751799924,74.81482308480263,58.93346394800037,66.97727761450793,52.92043549223539,65.17007482509078,72.55495321733018
2021-05-10,34.6638747316091,42.49174053084754,37.88359777505854,48.529788965873216,82.48770224599275,71.76285707919527,55.22213788075787,70.17622712649383,60.73722936024541,85.66906320975816,55.68118876343485,57.754017750534665,51.60923993177022,77.17160376997424,58.333309809523,57.00775959933221,52.28462315648202,65.92588695501473,35.14750340101779,19.226764345215443,72.55947684796536,37.273405117119594,53.34214182401602,52.60654984956345,57.737477199382624,71.90356676510419,43.878238030780665,82.61759745926487,51.72420302890146,75.81638501135029,58.75973691177905,76.60212812206191,80.00002844920874
2021-05-11,31.79491463142209,41.252788932852134,38.512850477371614,41.3343285477145,73.94951248093037,68.90383572008437,48.16098649794384,59.06800536518746,61.93611533435987,72.91923809728404,51.97249952892362,42.934769127213514,49.005672771356345,67.09403698516334,46.84095265661437,56.489037900307615,53.5119286410365,54.83321497831087,30.03063857164713,23.930620246835616,69.49249201067201,34.53617934329955,45.53982517404747,53.35529815343531,50.70294980162153,71.29487909313664,40.25661567920312,78.5935998510356,50.53598331017864,60.04805770690085,52.78546763697633,66.11539323852708,67.08863732368425
2021-05-12,29.48736901357198,35.261628200851206,37.33351377286764,35.6248702938732,73.57865233809723,67.80402771911844,48.599435777806534,65.44749298919494,54.73423115336296,70.75129721087401,44.73888330139383,35.60980423778382,44.32894900214387,73.63973209137006,45.744691253112265,61.41847171021562,54.24228030545639,47.03305654137081,27.14470612570551,14.906981009047186,59.777103851022815,34.16040888556856,44.03372278707652,53.0032740637213,41.20334762492732,71.61227160051243,34.91729723170974,84.14753751180368,44.95916143963178,53.521647162465456,58.759818792161404,70.14515310915918,71.66916407278117
2021-05-13,28.913785061293453,34.332131685310074,34.994887616904606,32.48776224547899,72.85228610803254,58.56735284063774,46.148412727359286,62.29027302908677,64.20108258698474,72.93679603634766,42.96331697214178,35.92228591138716,41.984950648644435,75.07755401337903,50.38901144275615,62.70828661214363,52.985387088026386,51.615513502673544,27.236274475468747,23.711344168342336,58.24494091062658,24.395880562339357,51.558900851876174,61.35821275806086,45.13147766812707,58.72320848509435,31.516528991101083,80.52474846972866,52.35853387461428,51.97636695241049,61.05427305297025,68.4809313008524,67.04539260418304
2021-05-14,35.151585466489095,40.77036001534217,34.25924396297873,36.407466728755075,74.14082190969732,55.375360822387336,45.21135135577455,66.8218097473181,67.33849594704658,72.18542730339233,46.58046520182075,43.34764584734142,46.72425615079264,77.23773131918188,61.75818121717413,67.83304238330996,58.27558674570296,56.62478995977115,34.9506075859684,27.834151474241025,59.99997815644789,32.3041036724633,60.7165256428595,73.68411699387583,48.08334585867873,49.95120267026835,37.4254543162852,81.26213935091994,57.07229001484924,53.58800980622143,63.277714584987024,69.67438427476898,70.10958234816825
