Date,AAPL_ma50,AMT_ma50,AMZN_ma50,BA_ma50,BAC_ma50,BHP_ma50,COR_ma50,CVX_ma50,DUK_ma50,DVA_ma50,ECL_ma50,GE_ma50,GOOGL_ma50,JPM_ma50,KO_ma50,LLY_ma50,META_ma50,MMM_ma50,MSFT_ma50,NEE_ma50,NKE_ma50,NVDA_ma50,PEP_ma50,PG_ma50,PLD_ma50,RIO_ma50,SBUX_ma50,SLB_ma50,SO_ma50,SPG_ma50,VZ_ma50,WFC_ma50,XOM_ma50
2020-05-22,67.70478805541993,210.63962585449218,109.34781005859375,134.68700012207032,20.062460632324218,29.989663009643554,82.14173828125,68.60324295043945,69.8707120513916,75.55119964599609,168.84729904174804,41.04179435729981,62.30998001098633,81.07822738647461,39.78995803833008,139.85230850219727,183.2028204345703,119.43491088867188,161.7725244140625,52.09326042175293,80.58865844726563,69.7782234954834,114.61862487792969,103.8071224975586,74.70872161865235,32.249258003234864,65.49508728027344,14.45344087600708,46.3866381072998,45.468300857543944,44.86829216003418,24.798209609985353,33.729688301086426
2020-05-26,67.89798233032226,210.74770782470702,109.98467010498047,134.17760009765624,20.064632453918456,30.170525817871095,82.16515380859374,68.79129409790039,69.83690422058106,75.59259963989258,169.32558639526368,40.912538375854496,62.51707992553711,80.95246994018555,39.74791511535645,140.02812271118165,184.43990783691407,119.63474487304687,162.2209274291992,52.15136344909668,80.99243286132813,70.31577026367188,114.65970520019532,103.78370697021484,74.92993728637695,32.356290092468264,65.64757705688477,14.494948196411134,46.4093204498291,44.98494102478028,44.879778442382815,24.724326553344728,33.87125823974609
2020-05-27,68.27230773925781,211.6602584838867,110.70591018676758,134.57580017089845,20.164901351928712,30.398313484191895,82.4170948791504,69.21886756896973,69.97458686828614,75.73199966430664,170.1146955871582,40.99009185791016,62.86435989379883,81.20176513671875,39.77388282775879,140.35008193969728,186.10074584960938,120.11817916870118,163.12554565429687,52.33255332946777,81.62726455688477,71.03640274047852,114.97620574951172,103.89508209228515,75.4264037322998,32.52731498718262,66.02429946899414,14.580927658081055,46.54578140258789,44.94376365661621,44.95608253479004,24.76072147369385,34.07751808166504
2020-05-28,68.59538307189942,212.23464416503907,111.29917022705078,135.08940032958984,20.217026672363282,30.58212844848633,82.51890731811524,69.57849838256836,69.98869972229004,75.81879974365235,170.91681930541992,40.95316162109375,63.164539947509766,81.32829147338867,39.772292861938475,140.50455307006837,187.61993408203125,120.5198371887207,163.80715148925782,52.4674430847168,82.17650527954102,71.6454100036621,115.05783126831055,103.86961761474609,75.83184516906738,32.679085388183594,66.39272773742675,14.669686584472656,46.56314514160156,44.95785919189453,44.988406829833984,24.727230186462403,34.225988693237305
2020-05-29,68.94712799072266,212.99838989257813,111.91154022216797,135.96860046386718,20.277296600341796,30.833067855834962,82.72443557739258,70.21364616394042,70.11336097717285,75.9329997253418,171.98957107543944,40.949468536376955,63.50686996459961,81.58410659790039,39.8046199798584,140.70485641479493,189.18087768554688,120.87176025390625,164.64356079101563,52.67214714050293,82.76731140136718,72.40386543273925,115.24769561767579,103.85590881347656,76.26158348083496,32.90405120849609,66.79977653503418,14.788649501800537,46.594118194580076,45.16026214599609,45.04756294250488,24.707171211242677,34.44179084777832
2020-06-01,69.32720832824707,214.02160430908202,112.50165023803712,137.0422004699707,20.33901443481445,31.08012275695801,82.90683319091796,70.82816619873047,70.34082687377929,76.1129997253418,172.93638717651368,40.98393669128418,63.83006996154785,81.83803176879883,39.895772018432616,141.08497116088867,190.7548077392578,121.20088577270508,165.42728759765626,52.89981063842774,83.33244750976563,73.0979370880127,115.52722366333008,103.9863442993164,76.80174858093261,33.143457908630374,67.11937477111816,14.873146514892579,46.72110626220703,45.25306983947754,45.091963348388674,24.69545566558838,34.64969432830811
2020-06-02,69.79035514831543,215.27855682373047,113.12797027587891,138.20820037841796,20.432586669921875,31.364468841552736,83.25817184448242,71.44148155212402,70.68503303527832,76.43039978027343,174.2811067199707,41.049180068969726,64.20416999816895,82.12977569580079,40.04769187927246,141.69429138183594,192.41284851074218,121.77669754028321,166.35463989257812,53.2017788696289,83.97613189697266,73.83177528381347,116.03983947753906,104.28368179321289,77.39359092712402,33.41500247955322,67.49122322082519,14.960400657653809,46.930296173095705,45.495541687011716,45.17572494506836,24.721729278564453,34.90228542327881
2020-06-03,70.28595436096191,216.90036193847655,113.70354019165039,139.55900039672852,20.575750274658205,31.65596252441406,83.75186325073243,72.183452835083,71.12809394836425,76.7099998474121,176.11157928466798,41.20305603027344,64.58929000854492,82.59640045166016,40.230349197387696,142.34173660278321,194.05230895996092,122.53081405639648,167.3171252441406,53.563382873535154,84.77388732910157,74.51991691589356,116.53352294921875,104.6752540588379,78.00918693542481,33.69971389770508,67.9236695098877,15.088515758514404,47.20479888916016,45.85536926269531,45.29044937133789,24.79686325073242,35.208004035949706
2020-06-04,70.65809196472168,218.17969451904298,114.22404022216797,140.69140045166014,20.683200225830078,31.87256278991699,84.1326416015625,72.70404930114746,71.43293258666992,76.9847998046875,177.43275787353517,41.29291954040527,64.87357994079589,82.93526229858398,40.37997268676758,142.8818632507324,195.35712463378906,123.05844314575195,167.9939907836914,53.77641532897949,85.33430892944335,75.02641799926758,116.8504428100586,104.92073165893555,78.42260635375976,33.90471740722656,68.18713668823243,15.196338901519775,47.36764694213867,46.2037939453125,45.41666374206543,24.831384544372558,35.44631965637207
2020-06-05,71.0817495727539,219.39013244628907,114.82120025634765,141.625400390625,20.813622932434082,32.09211536407471,84.5895314025879,73.25601348876953,71.70134201049805,77.3463998413086,178.92140350341796,41.33231178283691,65.21197990417481,83.30141876220704,40.51210777282715,143.41144256591798,196.84674377441405,123.68823760986328,168.78103759765625,53.983813705444334,85.79404769897461,75.58127044677734,117.2249560546875,105.25033996582032,78.84908126831054,34.07984817504883,68.49645034790039,15.336058483123779,47.520412368774416,46.61968605041504,45.55213798522949,24.89168758392334,35.72063316345215
